tkID,tkUR
0,0.0505798816568047
1,0.0532381656804734
2,0.0560177514792899
3,0.0601094674556213
4,0.0660207100591716
5,0.072448224852071
6,0.0771213017751479
7,0.0822292899408284
8,0.0883816568047337
9,0.0962514792899408
10,0.107945266272189
11,0.117384615384615
12,0.122337278106509
13,0.127322485207101
14,0.140384615384615
15,0.155680473372781
16,0.173653846153846
17,0.192736686390533
18,0.219275147928994
19,0.255325443786982
20,0.290369822485207
21,0.319615384615385
22,0.344644970414201
23,0.369038461538462
24,0.414852071005917
25,0.450976331360947
26,0.472692307692308
27,0.491227810650888
28,0.509038461538462
29,0.521582840236686
30,0.529644970414201
31,0.547751479289941
32,0.578313609467456
33,0.612514792899408
34,0.612529585798817
35,0.612544378698225
36,0.612559171597633
37,0.612573964497041
38,0.61258875739645
39,0.612603550295858
40,0.612618343195266
41,0.612633136094675
42,0.612647928994083
43,0.612662721893491
44,0.612677514792899
45,0.612692307692308
46,0.612707100591716
47,0.612721893491124
48,0.612736686390533
49,0.612751479289941
50,0.612766272189349
51,0.612781065088757
52,0.612795857988166
53,0.612810650887574
54,0.612825443786982
55,0.612840236686391
56,0.612855029585799
57,0.612869822485207
58,0.612884615384615
59,0.612899408284024
60,0.612914201183432
61,0.61292899408284
